,content,polarity
0,El nuevo modelo de esclavitud generado por la #ReformaLaboral https://t.co/zABllD9rna,1
1,"Defender el modelo haciendo pequeños retoques, al = que hizo con #ReformaLaboral https://t.co/OCbuTkrJsv",1
2,Mahou factura un 28% más y desciende sus trabajadores   https://t.co/60hpqx0QsJ #Trabajo #reformalaboral,1
3,RT @EGaraiz: La #reformalaboral ha traicionado abierta y publicamente el art. 123 Constitucional y con esto a los trabajadores.,1
4,RT @EGaraiz: La #reformalaboral ha traicionado abierta y publicamente el art. 123 Constitucional y con esto a los trabajadores.,1
5,@Ego_Ipse @hectorcarcamos En vez d analizar el poder q NO tienen los trabajadores pa negociar mejores condiciones laborales. #ReformaLaboral,0
6,RT @RialMedina: Gobierno francés se salta el voto de la Asamblea para imponer la #reformalaboral https://t.co/emcGWwudD3,1
7,#ReformaLaboral debe ser aplicada a FUNCIONARIOS INEFICIENTES MEXICANOS  @SCJN @ONU_es https://t.co/Gh8O7UGAd2,0
8,RT @NouveauMonde5: Aplicada la #ReformaLaboral a FUNCIONARIOS PÚBLICOS en estos momentos estarían DESEMPLEADOS https://t.co/5a8wOEzzRS,1
9,Aplicada la #ReformaLaboral a FUNCIONARIOS PÚBLICOS en estos momentos estarían DESEMPLEADOS https://t.co/5a8wOEzzRS,0
10,#Las6Condiciones de @Albert_Rivera incluyen la derogacion de la #ReformaLaboral y de la #LOMCE? Me lo aclara alguien? Que no me he enterado,0
11,RT @NOalPlanLaboral: @clarypm @ARecuperarLaCUT @clodette_munoz @Cutchile  Lo q realmente representa #ReformaLaboral para l@s trabajador@s…,0
12,"RT @NOalPlanLaboral: https://t.co/fB1MHHCfxl El PC en neoliberalismo chilensis, explica papel en tramitación d #ReformaLaboral q PROFUNDIZÓ…",0
13,La #reformalaboral ha traicionado abierta y publicamente el art. 123 Constitucional y con esto a los trabajadores.,1
14,"https://t.co/fB1MHHCfxl El PC en neoliberalismo chilensis, explica papel en tramitación d #ReformaLaboral q PROFUNDIZÓ P Laboral José Piñera",0
